_id,cost,charging_points,pay_at_location,membership_required,access_key_required,is_operational,latitude,longitude,operator,connection_type,current_type,charging_points_flag,location.type,location.coordinates[0],location.coordinates[1]
674f98013dc8e5d2ac0087de,"Free currently, join NRMA as a thank you.",1,Unknown,Unknown,Unknown,true,-33.92362579,147.203663,NRMA,CCS (Type 2),DC,0,Point,147.203663,-33.92362579
674f97ff3dc8e5d2ac008465,Unknown,2,Unknown,Unknown,Unknown,Unknown,-33.9205413,151.1911399,Jolt,Unknown,Unknown,0,Point,151.1911399,-33.9205413
674f97ff3dc8e5d2ac008431,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9195544,151.0669461,BP Pulse,CHAdeMO,Unknown,1,Point,151.0669461,-33.9195544
674f97ff3dc8e5d2ac008616,55c/kWh,1,false,true,true,true,-33.91939202,151.0666942,BP Pulse (AU),CCS (Type 2),DC,0,Point,151.0666942,-33.91939202
674f97ff3dc8e5d2ac0083fe,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9167278,136.5725086,"Tesla, Inc.",Unknown,Unknown,1,Point,136.5725086,-33.9167278
674f97ff3dc8e5d2ac00861f,55c/kWh,2,false,true,true,true,-33.91626058,151.1731133,BP Pulse (AU),CCS (Type 2),DC,0,Point,151.1731133,-33.91626058
674f97ff3dc8e5d2ac008663,Unknown,2,false,true,true,true,-33.915187,151.240972,Evie,CCS (Type 2),DC,0,Point,151.240972,-33.915187
674f97ff3dc8e5d2ac008384,Unknown,22,Unknown,Unknown,Unknown,Unknown,-33.9138057,151.2391178,Chargefox,Unknown,Unknown,0,Point,151.2391178,-33.9138057
674f98013dc8e5d2ac0088f0,Free,1,Unknown,Unknown,Unknown,true,-33.91148887,151.1174631,EO Charging,Type 2 (Socket Only),AC (Single-Phase),0,Point,151.1174631,-33.91148887
674f97ff3dc8e5d2ac0083e3,Unknown,4,Unknown,Unknown,Unknown,Unknown,-33.9080986,151.1716659,Unknown,Unknown,Unknown,0,Point,151.1716659,-33.9080986
674f98013dc8e5d2ac00878c,Unknown,2,false,true,true,true,-33.90782668,151.1711454,Evie,CCS (Type 2),DC,0,Point,151.1711454,-33.90782668
674f98013dc8e5d2ac0088ef,Free,2,Unknown,Unknown,Unknown,true,-33.9076411,151.103913,EO Charging,Type 2 (Socket Only),AC (Single-Phase),0,Point,151.103913,-33.9076411
674f98013dc8e5d2ac0087cb,$0.00/kWh up to 7 kWh then $0.40/kWh,1,false,true,true,true,-33.90707057,151.2240912,Jolt,CCS (Type 2),DC,0,Point,151.2240912,-33.90707057
674f98013dc8e5d2ac0087c4,$0.70/kWh,1,false,true,true,true,-33.90694384,151.2131655,Chargefox,CCS (Type 2),DC,0,Point,151.2131655,-33.90694384
674f97ff3dc8e5d2ac00866d,$0.45 - $0.60/kWh,4,false,true,true,true,-33.9055215,151.2128,Chargefox,CCS (Type 2),DC,0,Point,151.2128,-33.9055215
674f97ff3dc8e5d2ac008385,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9053712,151.2129122,Chargefox,Unknown,Unknown,1,Point,151.2129122,-33.9053712
674f97ff3dc8e5d2ac008489,Unknown,2,Unknown,Unknown,Unknown,Unknown,-33.9047467,151.0646034,AmpCharge,Unknown,Unknown,0,Point,151.0646034,-33.9047467
674f97ff3dc8e5d2ac00845b,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9027063,138.6577314,Unknown,Unknown,Unknown,1,Point,138.6577314,-33.9027063
674f97ff3dc8e5d2ac00840c,Unknown,2,Unknown,Unknown,Unknown,Unknown,-33.9021318,151.1999188,AmpCharge,Unknown,Unknown,0,Point,151.1999188,-33.9021318
674f98013dc8e5d2ac008929,Free,1,Unknown,Unknown,Unknown,true,-33.9020792,151.2152314,(Unknown Operator),Tesla (Model S/X),AC (Three-Phase),0,Point,151.2152314,-33.9020792
674f98013dc8e5d2ac0087bf,$0.40/kWh,2,false,true,true,true,-33.89880023,150.9199438,Evie,CCS (Type 2),DC,0,Point,150.9199438,-33.89880023
